rct,nodea,nodeb,map_rel
1939,1939,928,1
1935,1935,1118,1
1933,1933,1154,1
1933,1933,44,1
1933,1933,361,1
1932,1932,1480,1
1932,1932,113,1
1931,1931,1319,1
1930,1930,757,1
1924,1924,796,1
1922,1922,902,1
1919,1919,117,1
1918,1918,711,1
1917,1917,1407,1
1915,1915,465,1
1915,1915,138,1
1915,1915,44,1
1914,1914,981,1
1910,1910,1911,1
1909,1909,841,1
1907,1907,1031,1
1906,1906,571,1
1901,1901,1472,1
1899,1899,756,1
1898,1898,1362,1
1897,1897,66,1
1895,1895,100,1
1895,1895,1222,1
1893,1893,386,1
1891,1891,676,1
1890,1890,451,1
1889,1889,194,1
1888,1888,1665,1
1885,1885,683,1
1885,1885,676,1
1885,1885,2138,1
1884,1884,53,1
1883,1883,93,1
1882,1882,1256,1
1881,1881,580,1
1879,1879,167,1
1879,1879,78,1
1879,1879,1018,1
1879,1879,2052,1
1879,1879,20,1
1879,1879,51,2
1879,1879,28,2
1879,1879,78,2
1879,1879,2326,2
1879,1879,51,3
1879,1879,2326,3
1879,1879,28,3
1879,1879,78,3
1874,1874,924,1
1870,1870,1605,1
1870,1870,1829,1
1870,1870,44,1
1868,1868,172,1
1868,1868,66,1
1864,1864,1142,1
1864,1864,1533,1
1864,1864,31,1
1864,1864,20,1
1864,1864,108,1
1862,1862,1468,1
1861,1861,1265,1
1860,1860,154,1
1857,1857,1761,1
1856,1856,161,1
1848,1848,777,1
1848,1848,96,1
1848,1848,20,1
1848,1848,1539,1
1846,1846,281,1
1842,1842,761,1
1840,1840,1841,1
1839,1839,1799,1
1838,1838,669,1
1834,1834,138,1
1834,1834,465,1
1832,1832,324,1
1830,1830,1831,1
1826,1826,172,1
1825,1825,1206,1
1824,1824,20,1
1824,1824,1191,1
1824,1824,392,1
1821,1821,1468,1
1816,1816,1817,1
1816,1816,614,1
1816,1816,614,2
1816,1816,1817,2
1816,1816,614,3
1816,1816,1817,3
1816,1816,614,4
1816,1816,1817,4
1813,1813,1062,1
1813,1813,1242,1
1809,1809,1553,1
1807,1807,1808,1
1806,1806,1098,1
1802,1802,224,1
1802,1802,949,1
1801,1801,468,1
1801,1801,69,1
1801,1801,295,1
1801,1801,1192,1
1797,1797,134,1
1795,1795,1265,1
1792,1792,1071,1
1791,1791,179,1
1785,1785,1786,1
1784,1784,132,1
1783,1783,424,1
1783,1783,754,1
1780,1780,735,1
1780,1780,2287,1
1778,1778,902,1
1776,1776,1777,1
1776,1776,20,1
1773,1773,387,1
1772,1772,715,1
1771,1771,1176,1
1769,1769,1403,1
1769,1769,386,1
1769,1769,683,1
1766,1766,1577,1
1765,1765,1146,1
1764,1764,1764,1
1764,1,1764,1
1764,1764,1427,1
1763,1763,41,1
1763,1763,20,1
1763,1763,282,1
1760,1760,1761,1
1757,1757,1758,1
1757,1757,668,1
1757,1757,44,1
1755,1755,555,1
1755,1755,949,1
1752,1752,160,1
1749,1749,553,1
1748,1748,697,1
1748,1748,1724,1
1748,1748,44,1
1743,1743,13,1
1741,1741,20,1
1741,1741,161,1
1741,1741,1412,1
1741,1741,1633,1
1741,1741,2055,1
1741,1741,1149,1
1739,1739,35,1
1735,1735,887,1
1731,1731,1467,1
1726,1726,44,1
1726,1726,2228,1
1726,1726,2258,1
1722,1722,1461,1
1722,1722,434,1
1722,1722,985,1
1722,1722,486,1
1722,1722,486,4
1722,1722,256,4
1722,1722,486,5
1722,1722,256,5
1722,1722,486,12
1722,1722,256,12
1721,1721,1282,1
1714,1714,466,1
1714,1714,653,1
1711,1711,108,1
1710,1710,546,1
1708,1708,895,1
1708,1708,1411,1
1708,1708,1823,1
1707,1707,134,1
1707,1707,44,1
1707,1707,93,1
1705,1705,169,1
1703,1703,653,1
1698,1698,1699,1
1698,1698,689,1
1698,1698,65,1
1698,1698,244,1
1696,1696,1459,1
1696,1696,351,1
1696,1696,739,1
1696,1696,28,1
1690,1690,280,1
1687,1687,745,1
1685,1685,1139,1
1675,1675,90,1
1675,1675,295,1
1675,1675,1928,1
1674,1674,1332,1
1673,1673,1058,1
1673,1673,1031,1
1673,1673,654,1
1671,1671,1672,1
1668,1668,1669,1
1666,1666,1667,1
1666,1666,69,1
1666,1666,31,1
1666,1666,44,1
1666,1666,20,1
1666,1666,1538,1
1666,1666,2004,1
1666,1666,788,1
1666,1666,1665,1
1666,1666,90,1
1666,1666,108,1
1666,1666,2272,1
1664,1664,1665,1
1662,1662,1093,1
1661,1661,41,1
1660,1660,1240,1
1658,1658,471,1
1653,1653,1085,1
1652,1652,490,1
1651,1651,1553,1
1650,1650,856,1
1649,1649,1124,1
1648,1648,167,1
1647,1647,6,1
1645,1645,1646,1
1644,1644,1396,1
1642,1642,7,1
1642,1642,1031,1
1642,1642,389,1
1638,1638,1639,1
1637,1637,835,1
1634,1634,639,1
1627,1627,1628,1
1625,1625,788,1
1624,1624,451,1
1618,1618,200,1
1613,1613,1340,1
1613,1613,316,1
1613,1613,505,1
1612,1612,1271,1
1611,1611,566,1
1609,1609,90,1
1609,1609,1283,1
1609,1609,26,1
1606,1606,370,1
1606,1606,255,1
1606,1606,51,1
1603,1603,1604,1
1603,1603,1670,1
1603,1603,1601,1
1603,1603,1071,1
1603,1603,90,1
1603,1603,2074,1
1603,1603,424,1
1602,1602,44,1
1602,1602,1643,1
1602,1602,1175,1
1600,1600,1601,1
1600,1600,44,1
1600,1600,2263,1
1596,1596,488,1
1594,1594,1595,1
1588,1588,1566,1
1586,1586,407,1
1584,1584,567,1
1584,1584,44,1
1584,1584,609,1
1582,1582,577,1
1582,1582,577,3
1579,1579,414,1
1576,1576,1577,1
1575,1575,400,1
1575,1575,44,1
1575,1575,112,1
1575,1575,1610,1
1574,1574,688,1
1571,1571,1572,1
1569,1569,132,1
1568,1568,365,1
1568,1568,69,1
1568,1568,2225,1
1568,1568,788,1
1565,1565,1566,1
1561,1561,587,1
1561,1561,1724,1
1561,1561,92,1
1561,1561,408,1
1561,1561,416,1
1561,1561,751,1
1561,1561,361,1
1560,1560,100,1
1560,1560,546,1
1558,1558,463,1
1556,1556,1557,1
1555,1555,1136,1
1554,1554,322,1
1552,1552,901,1
1549,1549,1193,1
1546,1546,96,1
1546,1546,96,3
1545,1545,153,1
1541,1541,1542,1
1541,1541,20,1
1541,1541,1563,1
1537,1537,1538,1
1535,1535,1536,1
1535,1535,1663,1
1535,1535,1819,1
1534,1534,513,1
1534,1534,100,1
1534,1534,1523,1
1534,1534,87,1
1532,1532,1533,1
1531,1531,90,1
1531,1531,1128,1
1531,1531,2312,1
1530,1530,587,1
1528,1528,637,1
1524,1524,1525,1
1524,1524,408,1
1524,1524,587,1
1524,1524,1027,1
1524,1524,1908,1
1524,1524,361,1
1522,1522,1523,1
1522,1522,100,1
1518,1518,100,1
1518,1518,104,1
1518,1518,1841,1
1515,1515,465,1
1515,1515,144,1
1512,1512,1513,1
1511,1511,100,1
1511,1511,290,1
1510,1510,1102,1
1507,1507,26,1
1507,1507,1256,1
1506,1506,828,1
1506,1506,177,1
1504,1504,1058,1
1502,1502,529,1
1500,1500,255,1
1499,1499,1355,1
1499,1499,1659,1
1496,1496,219,1
1496,1496,88,1
1496,1496,1218,1
1496,1496,1844,1
1495,1495,449,1
1495,1495,44,1
1495,1495,1388,1
1495,1495,1985,1
1495,1495,2087,1
1495,1495,2173,1
1495,1495,276,1
1493,1493,1494,1
1491,1491,1492,1
1489,1489,1075,1
1489,1489,1018,1
1481,1481,175,1
1479,1479,393,1
1479,1479,393,3
1475,1475,652,1
1471,1471,1467,1
1465,1465,1466,1
1465,1465,606,1
1465,1465,90,1
1465,1465,96,1
1460,1460,232,1
1460,1460,361,1
1460,1460,44,1
1457,1457,44,1
1457,1457,1811,1
1457,1457,1680,1
1455,1455,1456,1
1451,1451,408,1
1451,1451,479,1
1451,1451,587,1
1451,1451,1245,1
1451,1451,1246,1
1451,1451,1154,1
1448,1448,863,1
1448,1448,1734,1
1448,1448,425,1
1448,1448,200,1
1446,1446,694,1
1444,1444,210,1
1442,1442,715,1
1442,1442,361,1
1442,1442,200,1
1438,1438,1439,1
1438,1438,1811,1
1437,1437,593,1
1436,1436,578,1
1436,1436,578,3
1435,1435,1435,1
1435,1435,1368,1
1435,1,1435,1
1434,1434,1301,1
1434,1434,580,1
1434,1434,580,10
1434,1434,1301,10
1424,1424,1425,1
1424,1424,90,1
1424,1424,567,1
1424,1424,701,1
1424,1424,1462,1
1421,1421,410,1
1415,1415,641,1
1413,1413,96,1
1413,1413,349,1
1413,1413,44,1
1413,1413,2320,1
1410,1410,1411,1
1410,1410,316,1
1410,1410,895,1
1409,1409,361,1
1409,1409,1154,1
1409,1409,44,1
1408,1408,44,1
1408,1408,370,1
1408,1408,2185,1
1408,1408,479,1
1408,1408,1934,1
1405,1405,922,1
1404,1404,60,1
1404,1404,263,1
1402,1402,88,1
1402,1402,219,1
1397,1397,618,1
1397,1397,543,1
1397,1397,543,8
1397,1397,618,8
1397,1397,618,11
1397,1397,543,11
1395,1395,532,1
1395,1395,560,1
1395,1395,496,1
1395,1395,466,1
1394,1394,63,1
1393,1393,442,1
1391,1391,1392,1
1391,1391,44,1
1391,1391,994,1
1385,1385,307,1
1383,1383,90,1
1383,1383,547,1
1383,1383,31,1
1383,1383,44,1
1383,1383,1302,1
1383,1383,20,1
1383,1383,108,1
1379,1379,1093,1
1379,1379,948,1
1379,1379,20,1
1379,1379,200,1
1379,1379,841,1
1379,1379,386,1
1379,1379,425,1
1377,1377,1346,1
1375,1375,1295,1
1374,1374,706,1
1373,1373,215,1
1371,1371,1372,1
1365,1365,1366,1
1365,1365,28,1
1365,1365,20,1
1365,1365,1681,1
1365,1365,761,1
1363,1363,219,1
1363,1363,88,1
1363,1363,333,1
1363,1363,547,1
1357,1357,867,1
1356,1356,1136,1
1353,1353,17,1
1349,1349,648,1
1348,1348,87,1
1347,1347,780,1
1345,1345,1346,1
1337,1337,1338,1
1337,1337,811,1
1337,1337,1701,1
1337,1337,1701,2
1337,1337,1338,2
1337,1337,811,2
1337,1337,1701,3
1337,1337,1338,3
1337,1337,811,3
1337,1337,811,4
1337,1337,1338,4
1337,1337,2353,4
1337,1337,811,8
1337,1337,1338,8
1336,1336,663,1
1335,1335,1243,1
1333,1333,1334,1
1331,1331,1331,1
1331,1331,567,1
1331,201,1331,1
1331,230,1331,1
1327,1327,468,1
1325,1325,874,1
1323,1323,1324,1
1321,1321,757,1
1315,1315,566,1
1314,1314,141,1
1314,1314,368,1
1314,1314,17,1
1314,1314,280,1
1314,1314,195,13
1314,1314,17,13
1308,1308,531,1
1308,1308,203,1
1308,1308,2,1
1306,1306,761,1
1306,1306,964,1
1306,1306,90,1
1303,1303,50,1
1294,1294,914,1
1293,1293,485,1
1292,1292,144,1
1287,1287,914,1
1285,1285,210,1
1281,1281,1282,1
1275,1275,524,1
1275,1275,889,1
1263,1263,1128,1
1261,1261,1225,1
1261,1261,1595,1
1261,1261,215,1
1261,1261,1222,1
1255,1255,1256,1
1254,1254,1075,1
1248,1248,1249,1
1244,1244,1245,1
1244,1244,479,1
1244,1244,88,1
1244,1244,219,1
1241,1241,400,1
1241,1241,400,3
1239,1239,361,1
1239,1239,177,1
1239,1239,44,1
1236,1236,113,1
1233,1233,1193,1
1232,1232,106,1
1227,1227,2,1
1227,1227,381,1
1227,1227,203,1
1227,1227,342,1
1227,1227,396,1
1227,1227,39,1
1227,1227,745,1
1227,1227,43,1
1220,1220,140,1
1220,1220,1815,1
1216,1216,1217,1
1216,1216,193,1
1214,1214,434,1
1212,1212,1154,1
1207,1207,1208,1
1205,1,1205,1
1205,1205,1205,1
1205,1205,459,1
1204,1204,44,1
1204,1204,1406,1
1204,1204,361,1
1204,1204,1844,1
1201,1201,1202,1
1201,1201,357,1
1201,1201,1230,1
1201,1201,44,1
1201,1201,214,1
1201,1201,895,1
1198,1198,1199,1
1195,1195,427,1
1194,1194,1020,1
1194,1194,1024,1
1194,1194,20,1
1194,1194,1523,1
1194,1194,821,1
